dataset,categoria,ferramenta,fold,tempo
cmc,Deep Learning,Auto-PyTorch,1,60:00
cmc,Deep Learning,Auto-PyTorch,2,60:00
cmc,Deep Learning,Auto-PyTorch,3,60:00
cmc,Deep Learning,Auto-PyTorch,4,60:00
cmc,Deep Learning,Auto-PyTorch,5,60:00
cmc,Deep Learning,Auto-PyTorch,6,60:00
cmc,Deep Learning,Auto-PyTorch,7,60:00
cmc,Deep Learning,Auto-PyTorch,8,60:00
cmc,Deep Learning,Auto-PyTorch,9,60:00
cmc,Deep Learning,Auto-PyTorch,10,60:00
cmc,Deep Learning,Auto-Keras,1,14:23
cmc,Deep Learning,Auto-Keras,2,12:16
cmc,Deep Learning,Auto-Keras,3,12:09
cmc,Deep Learning,Auto-Keras,4,12:14
cmc,Deep Learning,Auto-Keras,5,13:38
cmc,Deep Learning,Auto-Keras,6,15:28
cmc,Deep Learning,Auto-Keras,7,13:28
cmc,Deep Learning,Auto-Keras,8,15:09
cmc,Deep Learning,Auto-Keras,9,23:11
cmc,Deep Learning,Auto-Keras,10,15:24
cmc,XGBoost,H2O AutoML,1,00:34
cmc,XGBoost,H2O AutoML,2,00:36
cmc,XGBoost,H2O AutoML,3,00:32
cmc,XGBoost,H2O AutoML,4,00:36
cmc,XGBoost,H2O AutoML,5,00:34
cmc,XGBoost,H2O AutoML,6,00:34
cmc,XGBoost,H2O AutoML,7,00:43
cmc,XGBoost,H2O AutoML,8,00:33
cmc,XGBoost,H2O AutoML,9,00:36
cmc,XGBoost,H2O AutoML,10,00:33
cmc,XGBoost,Rminer,1,00:06
cmc,XGBoost,Rminer,2,00:06
cmc,XGBoost,Rminer,3,00:06
cmc,XGBoost,Rminer,4,00:06
cmc,XGBoost,Rminer,5,00:06
cmc,XGBoost,Rminer,6,00:12
cmc,XGBoost,Rminer,7,00:05
cmc,XGBoost,Rminer,8,00:06
cmc,XGBoost,Rminer,9,00:06
cmc,XGBoost,Rminer,10,00:06
vehicle,Principal,H2O AutoML,1,02:16
vehicle,Principal,H2O AutoML,2,01:51
vehicle,Principal,H2O AutoML,3,02:06
vehicle,Principal,H2O AutoML,4,01:35
vehicle,Principal,H2O AutoML,5,02:13
vehicle,Principal,H2O AutoML,6,02:43
vehicle,Principal,H2O AutoML,7,02:37
vehicle,Principal,H2O AutoML,8,02:02
vehicle,Principal,H2O AutoML,9,01:57
vehicle,Principal,H2O AutoML,10,02:01
vehicle,Principal,AutoGluon,1,01:50
vehicle,Principal,AutoGluon,2,01:50
vehicle,Principal,AutoGluon,3,01:49
vehicle,Principal,AutoGluon,4,01:48
vehicle,Principal,AutoGluon,5,01:38
vehicle,Principal,AutoGluon,6,01:55
vehicle,Principal,AutoGluon,7,01:50
vehicle,Principal,AutoGluon,8,01:59
vehicle,Principal,AutoGluon,9,01:44
vehicle,Principal,AutoGluon,10,01:45
vehicle,Principal,AutoSklearn,1,60:00
vehicle,Principal,AutoSklearn,2,60:00
vehicle,Principal,AutoSklearn,3,60:00
vehicle,Principal,AutoSklearn,4,60:00
vehicle,Principal,AutoSklearn,5,60:00
vehicle,Principal,AutoSklearn,6,60:00
vehicle,Principal,AutoSklearn,7,60:00
vehicle,Principal,AutoSklearn,8,60:00
vehicle,Principal,AutoSklearn,9,60:00
vehicle,Principal,AutoSklearn,10,60:00
vehicle,Principal,TPOT,1,32:09
vehicle,Principal,TPOT,2,60:00
vehicle,Principal,TPOT,3,08:15
vehicle,Principal,TPOT,4,31:38
vehicle,Principal,TPOT,5,13:50
